Id,Lokacija,Leto,Sobe,Kvadratura,Agencija,Cena
6180912,"LJ. MOSTE, ZALOŠKA",1960,5.0,131.23,Akustika group d.o.o.,2000.0
6181235,POLJE,1968,3.0,75.29,Mreža nepremičnin d.o.o.,179900.0
6181349,SP. KAŠELJ,1976,2.5,57.0,LJUBLJANA NEPREMIČNINE d.o.o.,90000.0
6182814,ČRNUČE,1988,2.5,61.0,LJUBLJANA NEPREMIČNINE d.o.o.,158000.0
6182836,SP. ŠIŠKA,1895,2.5,63.0,LJUBLJANA NEPREMIČNINE d.o.o.,149000.0
6182973,LJ. CENTER,1831,3.0,114.36,ABC nepremičnine d.o.o.,499000.0
6183453,LJ. BEŽIGRAD,2006,4.0,127.0,LJUBLJANA NEPREMIČNINE d.o.o.,450000.0
6184327,"LJ. CENTER, MESTNI TRG",1800,4.5,139.5,"Oridom nepremičnine, Ivan Orešnik s.p.",649000.0
6184652,"LJ. VIČ, BLIŽINA ŠPARA",2017,3.5,179.71,METKA HANUNA s.p.,355000.0
6186224,"LJ. MOSTE, BTC, BLIZINA CENTRA",2010,4.5,208.0,Zasebna ponudba,650000.0
6186656,"LJ. VIČ, URŠIČEV ŠTRADON BLIZU LIVADE",2000,4.0,100.0,Harmonija nepremičnine Ksenja Kokalj s.p.,225000.0
6186912,POLJE,1968,3.0,75.29,Rojal invest d.o.o.,179900.0
6186940,"ROŽNA DOLINA, BLIŽINA ROŽNIKA, PST + ATRIJ",2011,3.0,83.4,Studio 68 d.o.o.,349900.0
6186996,"LJ. ŠIŠKA, GALETOVI BLOKI",1945,3.0,86.0,Mreža nepremičnin d.o.o.,232000.0
6187939,LJ. BEŽIGRAD,1996,5.0,138.0,ABC nepremičnine d.o.o.,595000.0
6188240,"LJ. BEŽIGRAD, DUNAJSKA CESTA",2011,2.0,72.0,"CIMER, MAKSIMILJAN REMIC s.p.",231000.0
6188692,"KODELJEVO, POVŠETOVA OB ŠPK",1939,3.0,70.4,"Rodman MGM d.o.o., PE nepremičnine",179000.0
6188905,"LJ. BEŽIGRAD, IZREDNO MIRNA LOKACIJA, Z GARAŽO",1954,3.0,89.0,Mreža nepremičnin d.o.o.,220000.0
6189875,LJ. CENTER,2000,2.0,80.0,LJUBLJANA NEPREMIČNINE d.o.o.,280000.0
6190732,ROŽNA DOLINA,2012,3.0,197.39,RCN d.o.o.,380000.0
6190939,"LJ. CENTER, IZJEMNA LOKACIJA",1891,3.0,79.7,"Nepremičninska družba d.o.o., PE RE/MAX Vogal",280000.0
6190950,"LJ. MOSTE, POLJE",2016,3.0,95.0,Casa 69 d.o.o.,199000.0
6191034,LJ. ŠIŠKA,2015,2.0,76.3,Zasebna ponudba,126000.0
6191523,PRULE,2018,4.0,162.11,RCN d.o.o.,720952.5
6192199,"LJ. VIČ, ROŽNA DOLINA",2011,3.0,83.4,Lares nepremičninska družba d.o.o.,323900.0
6193709,"LJ. ŠIŠKA, DRAVLJE",1972,2.0,55.2,Afirmacija d.o.o.,149000.0
6195510,"LJ. ŠIŠKA, KOGOJEVA ULICA",1969,2.0,63.7,"Dominos d.o.o., PE Ljubljana",159000.0
6195512,ČRNUČE,1803,3.0,81.7,MP PROJEKT d.o.o.,129000.0
6195527,LJ. ŠIŠKA,1969,2.0,63.7,"Dominos d.o.o., PE Ljubljana",159000.0
6195642,KLEČE,2006,4.0,126.1,"Aeon nepremičnine, d.o.o., Century 21 Emona",319000.0
6196685,"LJ. MOSTE, ZALOG",1997,1.0,35.0,Zasebna ponudba,112500.0
6196781,LJ. BEŽIGRAD,1892,2.0,48.9,DVOREC POSREDNIŠKA HIŠA d.o.o.,147000.0
6197284,ŠTEPANJSKO NASELJE,1977,2.0,61.3,EvroN d.o.o.,158000.0
6197507,LJ. CENTER,2006,2.0,57.0,LJUBLJANA NEPREMIČNINE d.o.o.,249000.0
6198382,PRŽAN,1968,4.5,275.0,LJUBLJANA NEPREMIČNINE d.o.o.,389000.0
6199213,"LJ. CENTER, KAPITELJ",2000,2.0,65.0,Medvešek Pušnik Nepremičnine d.o.o.,290000.0
6200464,ZG. ŠIŠKA,1922,4.0,113.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o.",240000.0
6201163,"STOŽICE, BEŽIGRAD BS4",2001,2.5,68.25,Zasebna ponudba,235000.0
6201861,"BS 3, BS3",1981,3.0,81.0,Zasebna ponudba,187000.0
6204500,RUDNIK,1940,3.0,120.1,Atrium nepremičnine d.o.o.,149000.0
6205946,"LJ. ŠIŠKA, STARA CERKEV",1983,2.5,68.0,"Komfort skupina d.o.o., nepremičnine",220000.0
6206039,LJ. BEŽIGRAD,2014,4.0,120.31,LJUBLJANA NEPREMIČNINE d.o.o.,554548.0
6206063,LJ. BEŽIGRAD,2014,4.0,105.35,LJUBLJANA NEPREMIČNINE d.o.o.,500457.0
6206281,"ROŽNA DOLINA, ABRAMOVA - A",2018,4.0,121.0,Gradina d.o.o.,461472.0
6206821,LJ. BEŽIGRAD,1977,2.0,76.2,Mreža nepremičnin d.o.o.,171000.0
6207164,"ROŽNA DOLINA, ABRAMOVA - B",2018,4.0,124.0,Gradina d.o.o.,470630.0
6207924,LJ. MOSTE,2003,4.5,218.0,"RE/MAX Commercial Slovenija, RMC d.o.o.",330000.0
6208083,LJ. CENTER,1902,3.5,118.0,LJUBLJANA NEPREMIČNINE d.o.o.,550000.0
6208202,"LJ. BEŽIGRAD, NEUBERGERJEVA ULICA",1968,2.0,63.0,"Dom-in, agencija d.o.o.",199000.0
6208497,LJ. BEŽIGRAD,1976,3.0,103.3,Proneo d.o.o.,230000.0
6209094,"LJ. BEŽIGRAD, NASPROTI SONCA",2011,2.5,74.77,Studio 68 d.o.o.,230000.0
6209551,"STARA LJ., NOVO ŠTIRISOBNO STANOVANJE V CENTRU",2012,4.0,206.5,Mreža nepremičnin d.o.o.,1250000.0
6209606,"LJ. ŠIŠKA, BROD - TACENSKE BRZICE",2009,2.0,65.0,Lares nepremičninska družba d.o.o.,167000.0
6209663,"TRNOVO, LJ.",1980,1.0,35.0,Zasebna ponudba,155000.0
6209840,"ŠENTVID, SELANOV TRG",1990,2.0,55.2,EvroN d.o.o.,130000.0
6210161,LJ. MOSTE,1936,2.0,58.8,DVOREC POSREDNIŠKA HIŠA d.o.o.,165000.0
6210299,LJ. ŠIŠKA,1905,2.0,50.0,KU-MI nepremičnine d.o.o.,119000.0
6211212,"LJ. BEŽIGRAD, REZIDENCA RUSKI CAR",2011,2.0,73.6,"Abstract nepremičnine, Igor Kerin s.p.",240000.0
6211290,LJ. CENTER,1936,3.0,93.0,LJUBLJANA NEPREMIČNINE d.o.o.,350000.0
6213167,LJ. CENTER,1929,2.0,71.27,LJUBLJANA NEPREMIČNINE d.o.o.,250000.0
6213346,LJ. BEŽIGRAD,1962,3.0,72.4,Mreža nepremičnin d.o.o.,195000.0
6213532,LJ. ŠIŠKA,1972,1.0,29.8,MKA nepremičnine d.o.o.,119000.0
